Restaurants / Bars,Genre ,location,Notes,Reservation,Has Kelsey been?,TikTok/ IG Reels,Links: ,
Il Patio Eatly ,Italian,Back Bay ,Outdoor,yes,FALSE, ,https://www.eataly.com/us_en/stores/boston/chill-out-on-eatalys-patio/,
Long Bar,Rooftop,Back Bay,,yes,FALSE,,https://www.raffles.com/boston/dining/long-bar-and-terrace/,
Legal Harborside Rooftop,Rooftop,Seaport,,yes,FALSE,,https://www.legalseafoods.com/locations/boston-harborside/,
Cisco Brewery,Beer garden,Seaport,"Outdoor live music, food & drinks",Usually a line,TRUE,,https://www.bostonseaport.xyz/venue/cisco-brewers/,
Deck 12 (Yotel),Rooftop,Seaport,,yes,TRUE,,https://www.deck12bos.com/,
Lookout,Rooftop,Seaport,,yes,TRUE,,https://www.theenvoyhotel.com/dining/lookout-rooftop-and-bar, 
Lifted Pool Bar,Pool bar,Seaport,,,FALSE,,https://www.omnihotels.com/hotels/boston-seaport/dining/lifted-pool-bar,
The Lawn on D,,Seaport,Outdoor space with live music and games,no,FALSE,,https://www.signatureboston.com/lawn-on-d,
Tall Ship,,East Boston,"Outdoor live music, food & drinks",Usually a line,TRUE,,https://www.tallshipboston.com/,
Reel House,,East Boston,Waterside,yes,TRUE,,https://www.reelhouseboston.com/,
The Landing,,Long Wharf,Waterside,no,TRUE,,,
Six West,Rooftop ,Southie,,yes,TRUE,,https://www.sixwestbroad.com/,
Pier 6,,Charlestown,Take the water taxi,yes,FALSE,,https://www.pier6boston.com/,
The Anchor,Beer garden,Charlestown,Waterside,,FALSE,,https://theanchorboston.com/,
Over the Charles,Rooftop,Cambridge,,yes,FALSE,,https://instagram.com/otcrooftop?igshid=MWI4MTIyMDE=,
