Hotel,location,Stars,Has Kelsey been?,TikTok/ IG Reels,Links: 
Hotel Commenwealth,Fenway,☆☆☆☆,FALSE,,https://www.hotelcommonwealth.com/
The Verb,Fenway,☆☆☆,FALSE,,https://www.theverbhotel.com/
The Newbury,Newbury,☆☆☆☆☆,FALSE,,https://www.thenewburyboston.com/
"Four Seasons Hotel One Dalton Street, Boston",Back Bay,☆☆☆☆☆,FALSE,,https://www.fourseasons.com/onedalton/
Fairmont Copley Plaza Boston,Back Bay,☆☆☆☆☆,FALSE,,https://www.fairmont.com/copley-plaza-boston
Hilton Boston Park Plaza,Back Bay,☆☆☆☆,FALSE,,https://www.hilton.com/en/hotels/bossrhh-hilton-boston-park-plaza/
"The Liberty, a Luxury Collection Hotel, Boston",Beacon Hill,☆☆☆☆☆,FALSE,,https://libertyhotel.com/
Omni Boston Hotel at the Seaport,Seaport,☆☆☆☆,FALSE,,https://www.omnihotels.com/hotels/boston-seaport
Boston Harbor hotel ,Seaport,☆☆☆☆☆,TRUE,,https://www.bostonharborhotel.com/
"The Envoy Hotel, Autograph Collection",Seaport,☆☆☆☆☆,TRUE,,https://www.theenvoyhotel.com/
Canopy by Hilton Boston Downtown,North end ,☆☆☆☆,TRUE,,https://www.hilton.com/en/hotels/bostnpy-canopy-boston-downtown/
Battery Wharf Hotel Boston Waterfront,North end ,☆☆☆☆,TRUE,,https://www.batterywharfhotelboston.com/
