Restaurants ,Food Genre ,Location,Vibe ,Reservation,Stars,Price Point,Has Kelsey been?,TikTok/ IG Reels,Links: ,Notes
Lolita,Mexican,"Back Bay, Seaport","Trendy
Birthday Spot",Yes ,☆☆☆☆,$$-$$$,TRUE, ,https://www.lolitamexican.com/,
Contessa ,Italian,Back Bay,"Upscale
Date night",Yes ,☆☆☆☆☆,$$$$,TRUE,,https://www.contessatrattoria.com/,"Rooftop dining with views
Brunch is bomb here too"
Citrus and Salt,Mexican,Back Bay ,Trendy,Yes ,☆☆☆☆,$$-$$$,TRUE,,https://www.citrusandsaltboston.com/,
Saltie Girl,Seafood,Back Bay,Trendy,Yes ,☆☆☆☆,$$$,TRUE,,https://www.saltiegirl.com/,Known for its fresh seafood and lobster rolls.
Krasi,Greek,Back Bay,,Yes ,☆☆☆☆☆,$$$,FALSE,,https://krasiboston.com/,
Zuma,Japanese,"Back Bay Four Seasons",Upscale,Yes ,☆☆☆☆☆,$$$$,FALSE,,https://zumarestaurant.com/,High-end Japanese dining with a global following.
Grill 23 & Bar ,Steakhouse,Back Bay,"Classic elegant",Yes ,☆☆☆☆☆,$$$$,TRUE,,https://grill23.com/,Boston’s quintessential steakhouse.
Buttermilk & Bourbon,"American Southern",Back Bay,Casual,,☆☆☆☆,$$-$$$,FALSE,,https://www.buttermilkbourbon.com/,Southern comfort food in a fun setting.
Ramsay's Kitchen by Gordon Ramsay,"British American",Back Bay,,Hit or miss,☆☆☆☆,$$$,TRUE,,https://www.gordonramsayrestaurants.com/en/us/ramsays-kitchen,Try the Beef Wellington 
La Padrona,Italian,"Back Bay Raffles Boston",,,☆☆☆☆,,FALSE,,https://www.raffles.com/boston/dining/la-padrona/,
Shore Leave,"Tiki Asian Fusion",Back Bay,Trendy,Yes ,☆☆☆☆,$$-$$$,TRUE,,https://www.shoreleaveboston.com,Go during Christmas and Halloween for fun decor
Cafe Sauvage,French,Back Bay,,,☆☆☆☆,$$-$$$,FALSE,,https://www.cafesauvage.com/,
Douzo ,Japanese,Back Bay,Casual,,☆☆☆☆,$$-$$$,FALSE,,https://douzosushi.com/,
Deuxave,French,Back Bay,,,☆☆☆☆☆,$$$$,FALSE,,https://www.deuxave.com/,
Salty Pig ,"Italian Pizza",Back Bay,Casual,,☆☆☆☆,$$-$$$,FALSE,,https://www.thesaltypig.com/,Try the Charcuterie boards
Select Oyster Bar,Seafood,Back Bay,,Hit or miss,☆☆☆☆☆,$$$,TRUE,,http://www.selectboston.com/,Try the oysters
NEW: D16,Cocktail bar,Back Bay,,,,,FALSE,,https://www.d16boston.com/,
Sorellina,Italian,Back Bay,Upscale,,☆☆☆☆☆,,FALSE,,https://sorellinaboston.com/ ,
Abe & Louie's,Steakhouse,Back Bay,Upscale,,☆☆☆☆☆,,FALSE,,https://abeandlouies.com/,
The Street Bar,American,Newbury,Good for drinks,,,,FALSE,,https://www.thenewburyboston.com/dine/street-bar,
"Crazy Good Kitchen
 “CGK”",American,Newbury,Casual,No,☆☆☆☆,$$$,TRUE,,https://www.crazygoodkitchen.com/,
Eva,Mediterranean,Newbury,,Hit or miss,☆☆☆☆,$$-$$$,TRUE,,https://www.evaboston.com,
Faccia a Faccia,Italian,Newbury,,Yes ,☆☆☆☆,$$$,TRUE,,https://facciaafacciaboston.com,
Puro ceviche,"Peruvian Seafood",Newbury,,,☆☆☆☆,$$-$$$,FALSE,,https://www.purocevichebar.com/,
Thai Basil,Thai,Newbury,,,☆☆☆☆,,FALSE,,https://www.thaibasilma.com/,
Earls,American ,Multiple locations,Casual,Hit or miss,☆☆☆☆,$$-$$$,TRUE,,https://earls.ca/locations/prudential/,Try the moscow mules
Terra ,Italian,"Prudential Eataly",Trendy,Yes ,☆☆☆,$$-$$$,TRUE,,https://www.eataly.com/us_en/stores/boston/terra/,
Yvonne ,"American, Fusion",Downtown ,"Trendy

Good for drinks

Birthday spot",Yes ,☆☆☆☆,$$$$,TRUE,,https://www.yvonnesboston.com/,
Mariel,Cuban,Downtown ,"Trendy

Birthday spot",Yes ,☆☆☆☆,$$$,TRUE,,https://www.marielofficial.com/,
Blu,American,Downtown ,Upscale,Yes ,☆☆☆☆,$$$,FALSE,,http://www.blurestaurant.com/,
Ruka Restrobar,"Japanese Peruvian",Downtown ,Upscale,,☆☆☆☆,$$$,FALSE,,https://www.rukarestobar.com/,
Bogies Place,American,Downtown ,Speakeasy,No,☆☆☆☆,$$,FALSE,,http://bogiesplace.com/bogiesplace/,
Wig Shop,American,Downtown ,Speakeasy,No,☆☆☆☆,$$,FALSE,,https://www.wigshopboston.com,
French Quarter,"American Southern",Downtown ,,,☆☆☆☆,$$-$$$,FALSE,,https://frenchquarterboston.com/,
Sushi @ Temple Records,Sushi,Downtown ,,,☆☆☆☆,,FALSE,,https://www.sushiattemplerecords.com/ ,
Somaek Korean,Korean,Downtown ,,,☆☆☆☆,,FALSE,,https://www.somaek.com/,
o ya,Japanese,Downtown ,Upscale,,☆☆☆☆,,FALSE,,https://www.o-ya.restaurant/location/o-ya-boston/,
Hei La Moon,Dim Sum,Chinatown,Casual,No,☆☆☆☆,$$,FALSE,,https://www.heilamoonrestaurant.com/,Famous for its dim sum and casual Chinese dishes.
Dumpling Cafe,Chinese,Chinatown,Casual,No,☆☆☆☆,$$,FALSE,,https://www.dumplingcafeboston.com/,
Mija Cantina,Mexican,Faneuil hall ,Casual,Hit or miss,☆☆☆☆,$$,TRUE,,https://www.mijaboston.com/,
Roxanne,Cocktail bar,Beacon Hill,"Trendy

Girls night",Yes ,☆☆☆☆,$$$,TRUE,,https://www.roxannesboston.com/,
Figs ,"Pizza Italian",Beacon Hill,Casual,Hit or miss,☆☆☆☆,$$-$$$,TRUE,,https://www.opentable.com/r/figs-by-todd-english-beacon-hill-boston, Try the Fig Pizza
Florina,Pizza,Beacon Hill,Casual,,☆☆☆☆,$$-$$$,TRUE,,https://www.florinapizza.com/,
Scampo at the Liberty Hotel,"Italian Seafood","West End Liberty Hotel",Upscale,Yes ,☆☆☆☆☆,$$$$,FALSE,,https://www.scampoboston.com/,
Clink ,American,"West End Liberty Hotel",Trendy,Yes ,☆☆☆☆,$$$,TRUE,,http://www.clinkboston.com/menu,
Banners,Sports bar,West End,Casual,Hit or miss,☆☆☆☆,$$,TRUE,,https://www.patinagroup.com/banners,
1928 Beacon Hill,American,Beacon Hill,Date night,Yes ,☆☆☆☆,$$$,TRUE,,https://www.1928beaconhill.com,
Toscano,Italian,Multiple locations,,,☆☆☆☆,,FALSE,,https://www.toscanoboston.com/,
Mooo…,Steakhouse,"Beacon Hill Seaport",Upscale,Yes ,☆☆☆☆☆,$$$$,FALSE,,https://www.mooorestaurant.com/,
Pink Taco,Mexican,Seaport,"Trendy

Girls night",Hit or miss,☆☆☆☆,$$,TRUE,,https://pinktaco.com/,
Coquette,French,Seaport,"Trendy

Birthday spot",Yes ,☆☆☆☆,$$$,TRUE,,https://www.frenchcoquette.com/,
Barking Crab,Seafood,Seaport,Casual,,☆☆☆☆,$$,TRUE,,http://barkingcrab.com/,A classic seafood shack
,,,,,,,FALSE,,,
Bar Taco,Mexican,Seaport,Casual,Doesn't take res,☆☆☆☆,$$,TRUE,,https://bartaco.com/,
Lola 42,"Japanese Sushi",Seaport,"Upscale

Good for drinks",Yes ,☆☆☆☆☆,$$$$,FALSE,,https://www.lola42.com/,
Row 34,Seafood,Seaport,,Yes ,☆☆☆☆☆,$$$,TRUE,,https://www.row34.com/,Try the oysters
Empire,Asian Fusion,Seaport,Trendy,Yes ,☆☆☆☆,$$$,FALSE,,https://www.empireboston.com/,
NEW: Marcelino’s Seaport,Cocktail bar,Seaport,,,,,FALSE,,https://www.marcelinosboutiquebar.com/ ,
SAVR,American,Seaport,,,☆☆☆☆☆,,FALSE,,https://savrtm.com/,
75 on Liberty ,American,Seaport,,,☆☆☆☆,,FALSE,,https://www.75onlibertywharf.com/ ,
Mr. H,Chinese ,Seaport,,,☆☆☆,,TRUE,,https://www.mrhchinese.com/,
Nautilus Pier 4,Asian fusion,Seaport,Good for drinks,,,,FALSE,,https://www.thenautilus.com/boston/ ,
Carmelina's ,Italian,North end ,Kelsey's personal fav Italian,Yes ,☆☆☆☆,$$-$$$,TRUE,,https://carmelinasboston.com/,
Bricco,Italian,North end ,,Hit or miss,☆☆☆☆,$$$,TRUE,,https://bricco.com/,
Florentine,Italian,North end ,,Hit or miss,☆☆☆☆,$$-$$$,TRUE,,https://www.florentinecafeboston.com/,
Strega,"Italian Steakhouse",North end ,Upscale,Yes ,☆☆☆☆,$$$$,TRUE,,https://stregabynickvarano.com/,
Nico Restaurant,Italian North end ,,,☆☆☆☆,$$-$$$,FALSE,,https://nicoboston.com/,Try the Cheese wheel pasta
Giacomo's,Italian North end ,,,☆☆☆☆,$$-$$$,FALSE,,https://www.giacomosboston.com/,
Ward 8,American,North end ,,,☆☆☆☆,$$$,FALSE,,http://www.ward8.com/,
Forcellas,Italian,North end ,,,☆☆☆☆,$$-$$$,FALSE,,https://www.forcellaboston.com/,
Ciao Roma,Italian,North end ,,,☆☆☆☆,$$-$$$,FALSE,,https://www.ciaoromanorthend.com/,
Wiked Craft Co,American,North end ,,,☆☆☆☆,$$,FALSE,,https://www.wickedcraftco.com/,
Trattoria il Panino,Italian,North end ,,Hit or miss,☆☆☆☆,$$-$$$,TRUE,,https://trattoriailpanino.com/,
Neptune oyster,Seafood,North end ,,,☆☆☆☆☆,$$$,TRUE,,https://www.neptuneoyster.com/,A popular spot for oysters and seafood in the North End.
Chart House,Seafood,North end ,Casual,Hit or miss,☆☆☆☆,$$,TRUE,,https://www.chart-house.com/location/chart-house-boston-ma/,Try the Clam chowder
Monicas,Italian,North end ,,,☆☆☆☆,$$-$$$,TRUE,,https://monicastrattoriaboston.com/ ,
The Red Fox,"Italian
Speakeasy",North end ,"Date night 

Good for drinks",,☆☆☆☆,,TRUE,,https://www.redfoxnorthend.com/,
Vinoteca di Monica,Italian,North end ,,,☆☆☆☆,$$-$$$,FALSE,,https://www.monicasboston.com/ ,
Mare Oyster Bar,Seafood,North end ,,,☆☆☆☆,$$-$$$,FALSE,,https://mareoysterbar.com/,
Boston Sail Loft,Seafood,North end ,,,☆☆☆☆☆,,TRUE,,https://www.thebostonsailloft.com/,
Time Out Market ,Various,Fenway,Casual,No,☆☆☆☆,$$,TRUE,,https://www.timeoutmarket.com/boston/,Trendy food hall
Uni,"Japanese Sushi",Fenway,,,☆☆☆☆☆,$$$$,FALSE,,https://uni-boston.com/,
Blue Ribbon Sushi,Sushi,Fenway,,,☆☆☆☆☆,,FALSE,,https://www.blueribbonsushikenmore.com/,
Toro,"Spanish Tapas",South end,Casual,,☆☆☆☆☆,$$$,FALSE,,https://www.toro-restaurant.com/,
Barcelona Wine Bar,"Spanish Tapas","South end Brookline",Casual,Yes ,☆☆☆☆,$$-$$$,TRUE,,https://barcelonawinebar.com/,
Frenchie Wine,French,South end ,Casual,Yes ,☆☆☆☆,$$$,TRUE,,https://www.frenchieboston.com/,Try the Cheese Board and Wine flight
Burro Bar,Mexican,"South end Brookline",Casual,,☆☆☆☆,$$,TRUE,,https://www.burrobarboston.com/,
Yellow Door Taqueria,Mexican,South end ,Casual,Hit or miss,☆☆☆☆,$$,TRUE,,https://www.yellowdoortaqueria.com/,
ilona,Mediterranean ,South end ,,,☆☆☆☆,$$$,FALSE,,https://ilonasouthend.com/  ,Try the Spicy margs
Oishii Bostom,Japanese,South end ,,,☆☆☆☆☆,$$$$,TRUE,,https://www.oishiiboston.com,
Mida,Italian,South end ,,,☆☆☆☆,$$$,FALSE,,https://midarestaurant.com/,
SRV,Italian,South end ,,,☆☆☆☆,$$$,FALSE,,http://www.srvboston.com/,
Coppa,Italian,South end ,,,☆☆☆☆,$$$,FALSE,,https://www.coppaboston.com/?utm_source=google&utm_medium=profile&utm_campaign=local-coppa&utm_content=website,
Myers & Chang,Chinese,South end ,,,☆☆☆☆,$$$,FALSE,,https://www.myersandchang.com/,
Doña Habana,Cuban,South end ,,,☆☆☆☆,$$,FALSE,,http://donahabanarestaurant.com,
Black Lamb,American,South end ,,,☆☆☆☆,$$,FALSE,,https://www.blacklambsouthend.com,
Casa Giacomos,Italian,South end ,,,☆☆☆☆,$$-$$$,FALSE,,https://www.casagiacomos.com,
Banyan,Asian Fusion,South end ,,,☆☆☆☆,$$$,FALSE,,https://www.banyanboston.com,
El Centro,Mexican,South end ,,,☆☆☆☆,$$,FALSE,,https://www.elcentroinboston.com,
Petit Robert Bistro,French,South end ,Good for drinks,,☆☆☆☆,,FALSE,,https://www.petitrobertbistro.com/,$10 martini monday
Gigi,Italian,South end ,,,☆☆☆☆,,TRUE,,https://www.instagram.com/gigisouthend/?hl=en,
KAVA Neo-Taverna,Greek,South end ,Casual,,☆☆☆☆☆,$$$,FALSE,,https://kavaneotaverna.com,
Mistral,French,South end ,,,☆☆☆☆☆,,FALSE,,https://mistralbistro.com/,
NEW: Desnuda cocina & bar,"Latin Asian",South end ,,,,,FALSE,,https://desnudacocina.com/ ,
NEW: Kaia,Greek,South end ,,,,,FALSE,,https://www.kaiasouthend.com/ ,
NEW: Desnuda cocina & bar,"Asian Speakeasy",South end ,,,,,FALSE,,https://desnudacocina.com/ ,
Petula's,American,South end ,,,☆☆☆☆,$$,FALSE,,https://www.petulasboston.com/,
Reunion BBQ,Barbecue,South end ,,,☆☆☆☆,,FALSE,,https://www.reunionbbqboston.com/,
